[VAMS][2012-08-06 14:25:43,812] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:25:53,813] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:03,813] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:13,814] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:26:23,817] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:38:57,985] INFO | 服务器已启动，端口号：3005 | [main] org.noneorone.apache.mina.ServerCase.main(45)
[VAMS][2012-08-06 14:39:26,755] INFO | 已建立连接. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionCreated(42)
[VAMS][2012-08-06 14:39:26,757] INFO | 连接已打开. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionOpened(52)
[VAMS][2012-08-06 14:39:36,758] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:39:45,863] INFO | 服务端收到消息：Hi,jack | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:39:45,871] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-08-06 14:39:56,438] INFO | 服务端收到消息：how are you? | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:39:56,439] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-08-06 14:40:06,443] INFO | 服务器端进入空闲状态... | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionIdle(47)
[VAMS][2012-08-06 14:40:13,895] INFO | 服务端收到消息：qiuuit | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:40:13,896] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-08-06 14:40:19,702] INFO | 服务端收到消息：quit | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:40:19,703] INFO | 服务端发送信息成功. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageSent(32)
[VAMS][2012-08-06 14:40:21,831] INFO | 服务端收到消息：exit | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.messageReceived(23)
[VAMS][2012-08-06 14:40:21,833] INFO | 连接已关闭. | [NioProcessor-2] org.noneorone.apache.mina.ServerCaseHandler.sessionClosed(37)
